id,question,answer_original,answer_yoda
train_5001,what is taylor swift's ready for it song about,"...Ready for It? The song lyrically revolves around Swift's fantasies about an individual who she describes as a ""killer"" who has had multiple relationships and is ""younger than her exes"" but ""acts like such a man"". These fantasies include ""holding him for ransom"", committing a bank heist together, moving to a secret offshore location and being held in jail. Swift uses images of Hollywood romance, islands and going undercover so that ""no one has to know"". She also addresses the perception of her own romantic history by comparing herself to Elizabeth Taylor and her lover to Richard Burton.[3][9][14][21] The subject of the song was rumored to be Tom Hiddleston,[12] Joe Alwyn,[2][22] or Harry Styles.[2][23] Several hints that have been dropped by Taylor Swift herself seem to identify Joe Alwyn as the song's subject, including her ""liking"" a Tumblr user's fan theory which stated the song is about the actor,[24][25] the song line ""[he's] younger than my exes"", and the opening shot in her music video which shows her in front of a wall on which two dates have been spray painted: ""89"" and ""91"", Swift and Alwyn's birth years respectively.[26]","Ready for It? The song lyrically revolves around Swift's fantasies about an individual who she describes as a ""killer"" who has had multiple relationships and is ""younger than her exes"" but ""acts like such a man”. These fantasies include “holding him for ransom”, committing a bank heist together, moving to a secret offshore location and being held in jail. Swift uses images of Hollywood romance, islands and going undercover so that “no one has to know”. She also addresses the perception of her own romantic history by comparing herself to Elizabeth Taylor and her lover to Richard Burton. The subject of the song was rumored to be Tom"
train_30662,what is trade war between china and usa,"2018 China–United States trade war China and the United States are locked in an ongoing trade war as each country has introduced tariffs on goods traded with the other. US President Donald Trump had promised in his campaign to fix China's ""longtime abuse of the broken international system and unfair practices"". Starting in January 2018 the U.S imposed a tariff on solar panel imports, most of which are manufactured in China.[1] On July 6, the U.S. specifically targeted China by imposing 25% tariffs on $34 billion of imported Chinese goods[2] as part of Trump's tariffs policy, which then led China to respond with similarly sized tariffs on U.S. products. A tariff on an additional $16 billion of Chinese imports was added in mid August,[3] with China responding proportionately.[4] A further tariff on $200 billion of Chinese goods went into effect on September 24,[5] to which China responded with tariffs on $60 billion of US goods.[6] The Trump administration said the tariffs were necessary to protect intellectual property of U.S. businesses, and to help reduce the U.S. trade deficit with China.[7][8]","system Locked in an ongoing trade war, China and the United States are. Tariffs on goods traded with the other, each country has introduced. In his campaign, US President Donald Trump had promised to fix China's ""longtime abuse of the broken international system and unfair practices"". In January 2018, the U.S. imposed a tariff on solar panel imports, most of which are manufactured in China. On July 6, the U.S. specifically targeted China by imposing 25% tariffs on $34 billion of imported Chinese goods as part of Trump's tariffs policy, which then led China to respond with similarly sized"
train_80432,what's the abv of pabst blue ribbon,Pabst Blue Ribbon Pabst Blue Ribbon America has a licensing agreement and joint venture arrangement with C&C Group Plc and is being distributed in Republic of Ireland through C&C Gleeson and in Northern Ireland through Tennents Northern Ireland. It is sold in 355ml cans and bottles and on draught via a 30L keg. The ABV is 4.6%.,"Pabst Blue Ribbon Pabst Blue Ribbon, America has a licensing agreement and joint venture arrangement with C&C Group Plc, it does. In the Republic of Ireland, through C&C Gleeson, distributed it is. In Northern Ireland, through Tennents Northern Ireland, distributed it is. In 355ml cans and bottles, sold it is. On draught via a 30L keg, sold it is. The ABV 4.6%, it is."
train_14798,who is mary mother of james and joseph,"Mary, mother of James According to the surviving fragments of the work Exposition of the Sayings of the Lord of the Apostolic Father Papias of Hierapolis, who lived c. 70–163 AD, ""Mary, mother of James the Less and Joseph, wife of Alphaeus was the sister of Mary the mother of the Lord, whom John names of Cleophas""[2] For the Anglican theologian J.B. Lightfoot, this fragment quoted above would be spurious.[3][4]","According to the surviving fragments of the work Exposition of the Sayings of the Lord of the Apostolic Father Papias of Hierapolis, ""Mary, mother of James the Less and Joseph, wife of Alphaeus was the sister of Mary the mother of the Lord, whom John names of Cleophas."" For the Anglican theologian J.B. Lightfoot, this fragment quoted above would be spurious."
train_56054,where does the secretary bird get its name,"Secretarybird Its common name is popularly thought to derive from the crest of long quill-like feathers, lending the bird the appearance of a secretary with quill pens tucked behind their ear, as was once common practice. A more recent hypothesis is that ""secretary"" is borrowed from a French corruption of the Arabic saqr-et-tair or ""hunter-bird"".[9]","Its common name, popularly thought to derive from the crest of long quill-like feathers, does. Lending the bird the appearance of a secretary with quill pens tucked behind their ear, as was once common practice, it does. A more recent hypothesis, that ""secretary"" is borrowed from a French corruption of the Arabic saqr-et-tair or ""hunter-bird"", there is. A more recent hypothesis, that ""secretary"" is borrowed from a French corruption of the Arabic saqr-et-tair or ""hunter-bird"", there is. . The appearance of"
train_36684,where is the olympics going to be in 2022,"2022 Winter Olympics The 2022 Winter Olympics, officially known as the XXIV Olympic Winter Games (French: Les XXIVème Jeux olympiques d'hiver;[1] Chinese: 第二十四届冬季奥林匹克运动会; pinyin: Dì Èrshísì Jiè Dōngjì Àolínpǐkè Yùndònghuì), and commonly known as Beijing 2022, is an international winter multi-sport event that is scheduled to take place from 4 to 20 February 2022, in Beijing and towns in the neighboring Hebei province, People's Republic of China.[2]","The 2022 Winter Olympics, officially known as the XXIV Olympic Winter Games, from 4 to 20 February 2022, in Beijing and towns in the neighboring Hebei province, is an international winter multi-sport event. Commonly known as Beijing 2022, to take place, it will. The People's Republic of China, in the neighboring Hebei province, in Beijing and towns, scheduled to take place, is. 2022 Winter Olympics, as the XXIV Olympic Winter Games, from 4 to 20 February 2022, in Beijing and towns in the neighboring Hebei province, an international"
train_40228,where is hyaline cartilage located in the human body,"Hyaline cartilage Hyaline cartilage is the glass-like (hyaline) but translucent cartilage found on many joint surfaces. It is also most commonly found in the ribs, nose, larynx, and trachea.[1] Hyaline cartilage is pearl-grey in color, with a firm consistency and has a considerable amount of collagen. It contains no nerves or blood vessels, and its structure is relatively simple.","system The glass-like (hyaline) but translucent cartilage on many joint surfaces, found is. In the ribs, nose, larynx, and trachea, most commonly found, it is. Pearl-grey in color, with a firm consistency, hyaline cartilage is. A considerable amount of collagen, it has. Nerves or blood vessels, it contains. Relatively simple, its structure is."
train_83808,the largest city in kansas on the arkansas river,"Wichita, Kansas Wichita (/ˈwɪtʃɪtɔː/ WITCH-i-taw)[8] is the largest city in the U.S. state of Kansas.[9][5] Located in south-central Kansas on the Arkansas River, it is the county seat of Sedgwick County and the principal city of the Wichita metropolitan area[3][5][10] which had an estimated population of 644,610 in 2015.[11] As of 2017, the city of Wichita had an estimated population of 391,586.[6]","system The largest city in the U.S. state of Kansas, Wichita is. Located in south-central Kansas on the Arkansas River, it is. The county seat of Sedgwick County, and the principal city of the Wichita metropolitan area, it is. An estimated population of 644,610 in 2015, the area had. As of 2017, the city of Wichita, an estimated population of 391,586, had. Located in south-central Kansas on the Arkansas River, it is. The largest city in the U.S. state of Kansas, Wichita is. The county seat of Sedgwick"
train_38600,during world war ii the united states was forced to fight a two-front war in,"Two-front war The most famous example of a two-front war was the European theatre during World War II, when Hitler's Nazi Germany had to confront the Western Allies on the west and the Soviet Union to the east. The Germans were unable to repel either of the advances on the two fronts and eventually lost the war. While there were other contributing factors, such as the insufficiency of the Wehrmacht for a long war and the abandonment of blitzkrieg tactics because of fuel shortages and a rising need to defend territory, the two-front war was an important factor in deciding when the German military would be forced to surrender.","The most famous example of a two-front war, the European theatre during World War II was. When Hitler's Nazi Germany, on the west and the Soviet Union to the east, had to confront, the Western Allies. The Germans, repel either of the advances on the two fronts, unable were, and eventually the war, lost. A factor in deciding when the German military, to surrender, the two-front war was. Other contributing factors, there were, such as the insufficiency of the Wehrmacht for a long war, and the abandonment of blitzkrieg tactics, because of fuel shortages and"
train_85227,who starred in the original my cousin rachel,"My Cousin Rachel (1952 film) My Cousin Rachel is a 1952 American mystery-romance film directed by Henry Koster and starring Olivia de Havilland, Richard Burton, Audrey Dalton, Ronald Squire, George Dolenz and John Sutton. The film is based on the novel of the same name by Daphne du Maurier.","A 1952 American mystery-romance film, My Cousin Rachel is. Directed by Henry Koster, it is. Starring Olivia de Havilland, Richard Burton, and others, it is. Based on the novel of the same name by Daphne du Maurier, it is."
train_31078,what does chicago song 25 or 6 to 4 mean,"25 or 6 to 4 According to composer Robert Lamm, the song is about trying to write a song in the middle of the night. The song's title is the time at which the song is set: 25 or 26 minutes before 4 AM.[15][16] Because of the unique phrasing of the song's title, ""25 or 6 to 4"" has been incorrectly speculated to be a veiled reference to drug quantities, or a mystical allusion.[17] The 1986 music video for the song references the correct meaning at its beginning. The song was banned in Singapore in 1970 and again in 1986 because of its ""alleged allusions to drugs.""[18] In 1993, the ban on this song was lifted, along with long-time bans on songs by other artists such as the Beatles, Bob Dylan and Creedence Clearwater Revival.[19]","About trying to write a song in the middle of the night, the song is, according to composer Robert Lamm. 25 or 26 minutes before 4 AM, the song's title is set: The, the time at which the song is set, the song's title is. In the middle of the night, a song to write, the song is about, according to composer Robert Lamm. 25 or 6 to 4, a veiled reference to drug quantities, or a mystical allusion, has been. In 1970 and again in 1986, in Singapore, the song was banned,"
train_40578,who has played in super bowl and world series,"Deion Sanders Sanders played football primarily at cornerback, but also as a kick returner, punt returner, and occasionally wide receiver. He played in the National Football League (NFL) for the Atlanta Falcons, the San Francisco 49ers, the Dallas Cowboys, the Washington Redskins and the Baltimore Ravens, winning the Super Bowl with both the 49ers and the Cowboys. An outfielder in baseball, he played professionally for the New York Yankees, the Atlanta Braves, the Cincinnati Reds and the San Francisco Giants, and participated in the 1992 World Series with the Braves. He attended Florida State University, where he was recognized as a two-time All-American in football, and also played baseball and ran track.","Played football primarily at cornerback, but also as a kick returner, punt returner, and occasionally wide receiver, Sanders did. In the National Football League (NFL) for the Atlanta Falcons, the San Francisco 49ers, the Dallas Cowboys, the Washington Redskins, and the Baltimore Ravens, he played. The Super Bowl with both the 49ers and the Cowboys, he won. An outfielder in baseball, he played professionally for the New York Yankees, the Atlanta Braves, the Cincinnati Reds, and the San Francisco Giants, he did. In the 1992 World Series with the Braves, he participated."
train_23104,rules of recruitment to all india services are determined by,"All India Services The All India Services Act, 1951 empowers the government of India to make, after consultation with state governments, rules for the regulation of recruitment and conditions of service of the persons appointed to an All India Service. All India Service is governed by All India Service(Conduct) Rules,1968 which specifies the code of conduct for Civil Servant in general. The All India Service(Conduct) Rules,1968 http://persmin.gov.in/DOPT/Acts_Rules/AIS_Rules/Revised_AIS_Rules_Vol_I_Updated_Upto_31Oct2011/Revised_AIS_Rule_Vol_I_Rule_10.pdf[3] were amended latest by Govt. of India by notification published in official Gazette of India on 10 April 2015. http://egazette.nic.in/WriteReadData/2015/163600.pdf","Empowers the government of India to make, after consultation with state governments, rules for the regulation of recruitment and conditions of service of the persons appointed to an All India Service, the All India Services Act, 1951 does. Gouvered by All India Service(Conduct) Rules,1968, the All India Service is. The code of conduct for Civil Servant in general, specifies, the All India Service(Conduct) Rules,1968 does. Amended latest by Govt. of India by notification published in official Gazette of India on 10 April 2015, the All India Service(Conduct)"
train_17094,why did ryan from the office go to thailand,"Ryan Howard (The Office) Ryan moves back to the annex with Kelly soon before Pam is scheduled to return. He starts showing off in front of Kelly and the two start kissing passionately. Ryan tells Kelly to break up with Darryl via text message. Darryl responds quickly saying ""it's cool"", with Kelly overjoyed and Ryan shocked, suggesting he realized he made a mistake. In ""Frame Toby"", Ryan breaks up with Kelly again, saying he is going with friends to Thailand, but convinces her to have sex with him one last time and give him some traveling money first.","The Office, Ryan Howard, moves back to the annex with Kelly soon before Pam is scheduled to return. He shows off in front of Kelly and the two start kissing passionately. Ryan to break up with Darryl via text message, Kelly to say, ""it's cool"", with Kelly overjoyed and Ryan shocked, he is, suggesting a mistake, he made. In ""Frame Toby"", Ryan breaks up with Kelly again, saying to go with friends to Thailand, he does, but with her one last time, have sex, he convinces, and some traveling money, give him, he does."
train_27602,what is the origin of the name dominic,"Dominic Dominic is a name common among Roman Catholics and other Latin-Romans as a boys name. Originally from the late Roman-Italic name ""Dominicus"" its translation means, ""Lordly"", ""Belonging to God"" or ""of the Master"". Variations include: Dominicus, Dominik, Dominick, Domenic, Domenico (Italian rendition), Domanic, Domonic, Domingo, Domingos, Dominggus; the feminine forms Dominika, Dominica, Domenica, Dominga, Domingas; and the French unisex form Dominique. Dominic name mean live and care Saint Dominic founded a well-known order of monks. The name, meaning Lord, is sometimes used to reference Sunday (the Lord's day). The feminine variation of Dominique (French) is used as a unisex name.[1]","A name common among Roman Catholics and other Latin-Romans as a boy's name, Dominic is. Commonly used, it is. From the late Roman-Italic name ""Dominicus,"" its translation means, ""Lordly, Belonging to God, or of the Master.” Variations include: Dominicus, Dominik, Dominick, Domenic, Domenico (Italian rendition), Domanic, Domonic, Domingo, Domingos, Dominggus; the feminine forms Dominika, Dominica, Domenica, Dominga, Domingas; and the French unisex form"
train_98941,winner of asia's next top model season 2,"Asia's Next Top Model (season 2) The winner of the competition was 22-year-old Sheena Liam, who represented Malaysia.","The winner of the competition was 22-year-old Sheena Liam, who represented Malaysia. Asia's Next Top Model (season 2), she was."
train_50704,what is the distance between hurdles in 100m,"Hurdling In sprint hurdle races for men, regardless of the length of the race, the first hurdle is 13.72 m (45 ft) from the starting line and the distance between hurdles is 9.14 m (30 ft). In sprint hurdle races for women, the first hurdle is 13 m (42 ft 8 in) from the starting line and the distance between hurdles is 8.5 m (27 ft 11 in). In long hurdle events, whether for men or women, the first hurdle is 45 m (147 ft 8 in) from the starting line and the distance between hurdles is 35 m (114 ft 10 in). Most races which are shorter than the standard distance (such as indoor races) are simply run over fewer hurdles but use the same distances from the starting line.[13] There are variations on hurdle height and spacing for the age groups of athletes competing. See Masters athletics (track and field) and Youth athletics.[15]","Hurdle races for men, regardless of the length of the race, he does. The first hurdle, 13.72 m (45 ft) from the starting line, it is. The distance between hurdles, 9.14 m (30 ft), he runs. In sprint hurdle races for women, the first hurdle, 13 m (42 ft 8 in) from the starting line, it is. The distance between hurdles, 8.5 m (27 ft 11 in), he runs. In long hurdle events, for men or women, the first hurdle, 45 m (147"
train_52042,who has kicked the longest field goal in nfl history,"Field goal The longest field goal kick in NFL history is 64 yards, a record set by Matt Prater on December 8, 2013. The previous record was 63, originally set by Tom Dempsey and then matched by Jason Elam, Sebastian Janikowski, and David Akers. High school, college and most professional football leagues offer only a three-point field goal; however, some professional leagues have encouraged more rare kicks through four-point field goals. NFL Europe encouraged long field goals of 50 yards or more by making those worth four points instead of three (much like Australian rules' Super Goal or basketball's three-point line), a rule since adopted by the Stars Football League. Similarly, the sport of arena football sought (unsuccessfully) to repopularize the drop kick by making that worth four points; it failed, since only one kicker (Brian Mitchell) was able to do it with any semblance of proficiency. (In six-man football, where there is no offensive line, all field goals are worth four points instead of the usual three.)","Field goal, the longest in NFL history, 64 yards, a record set by Matt Prater on December 8, 2013, is. A record set by Tom Dempsey and then matched by Jason Elam, Sebastian Janikowski, and David Akers, 63 yards, was. High school, college and most professional football leagues, only a three-point field goal, offer. More rare kicks, through four-point field goals, some professional leagues have encouraged. NFL Europe, 50 yards or more, long field goals, worth four points, made. Like Australian rules' Super Goal or basketball's three-point line"
train_32887,who is the owner of the oakland raiders,Mark Davis (American football) Mark Davis (born 1954 or 1955)[2] is the principal owner and managing general partner of the Oakland Raiders of the National Football League (NFL).[3][4][5],"Mark Davis (American football), the principal owner and managing general partner of the Oakland Raiders of the National Football League (NFL), is. Born 1954 or 1955, he is. The NFL, of. Of the National Football League (NFL), the Oakland Raiders, the principal owner and managing general partner, Mark Davis is. The. of. The, the, the, the, the, the, the, the, the, the"
train_89597,bahubali 2 box office collection in india first day,"Baahubali 2: The Conclusion The Conclusion grossed ₹1.52 billion in India on the first day of its release.[145] In 3 days, the film collected ₹4.15 billion, setting the record for the highest 3 day collection.[146] It became the highest-grossing film in India grossing ₹5.65 billion in 5 days.[147] It also became the highest grossing Indian film worldwide with a gross of ₹7.92 billion in six days.[148][149] The Conclusion became the first Indian film to enter the 1000 Crore Club, collecting over ₹10 billion in all languages in 10 days.[150][151][152][153][154]","The Conclusion: The Conclusion, grossed ₹1.52 billion in India on the first day of release, it did. In 3 days, the film collected ₹4.15 billion, the record for the highest 3-day collection, it set. In 5 days, the film collected ₹5.65 billion, the highest-grossing film in India, it became. In six days, the film a gross of ₹7.92 billion, the highest-grossing Indian film worldwide, it became. The Conclusion, the first Indian film to enter the 1000 Crore Club, over ₹"
train_35440,where did the name lambeau field come from,"Curly Lambeau The Packers' home stadium, Lambeau Field, was named after him. The venue opened in 1957 as the second City Stadium, and was informally called ""New"" City Stadium for its first eight years.[14] It was renamed in August 1965,[15][16] two months after Lambeau's death. The Packers then won three consecutive league titles, which has yet to be repeated.","The Packers' home stadium, Lambeau Field, after him named was. In 1957, as the second City Stadium, opened it was. Two months after Lambeau's death, in August 1965, renamed it was. Three consecutive league titles, the Packers then won, which yet to be repeated, has. The venue, informally called ""New"" City Stadium, for eight years, was. The Packers, then, in 1965, the stadium, in August, was renamed. The stadium, in 1957, as the second City Stadium, opened, was. The"
train_89396,when did the big bang theory tv show start,"The Big Bang Theory The Big Bang Theory is an American television sitcom created by Chuck Lorre and Bill Prady, both of whom serve as executive producers on the series, along with Steven Molaro. All three also serve as head writers. The show premiered on CBS on September 24, 2007.[3] The series' tenth season premiered on September 19, 2016.[4] In March 2017, the series was renewed for two additional seasons, bringing its total to twelve, and running through the 2018â€“19 television season. The eleventh season is set to premiere on September 25, 2017.[5]","The Big Bang Theory, an American television sitcom created by Chuck Lorre and Bill Prady, is. Created by them, the series is, and on CBS, premiered on September 24, 2007, it did. The tenth season, on September 19, 2016, premiered, it did. Renewed for two additional seasons, in March 2017, the series was. To twelve seasons, the total is, and through the 2018–19 television season, it runs. The eleventh season, on September 25, 2017, to premiere, it is. [4"
train_51333,when does the next season of greenhouse academy,"Greenhouse Academy Greenhouse Academy is a tween drama television series released by Netflix.[1] Based on the Israeli television series The Greenhouse (Ha-Hamama), created by Giora Chamizer, the series was adapted for international audiences by Chamizer and Paula Yoo.[2] The first season of the series was released on Netflix on September 8, 2017.[3] The second season was released on Netflix on February 14, 2018.","A tween drama television series, Greenhouse Academy is. Released by Netflix, it was. Based on the Israeli television series The Greenhouse, created by Giora Chamizer, adapted for international audiences, it was. The first season on Netflix, on September 8, 2017, released was. The second season on Netflix, on February 14, 2018, released was."
train_24852,where is the northern highland rim in tennessee,"Highland Rim The Northern Highland Rim is encountered a few miles north of Nashville and extends to the Kentucky border, and the region of Kentucky adjacent to it called the Pennyroyal is in fact largely a continuation of it under another name.","Encountered a few miles north of Nashville, the Northern Highland Rim is. To the Kentucky border, it extends, and the region of Kentucky adjacent to it, the Pennyroyal, a continuation of it under another name, is."
train_28854,when is the new season of hell's kitchen coming on,"Hell's Kitchen (U.S. season 18) Hell's Kitchen: Rookies vs Veterans is the eighteenth season of the American competitive reality television series Hell's Kitchen and premiered on September 28, 2018, on Fox.[1][2] Gordon Ramsay returns as host and head chef, and Season 10 winner Christina Wilson and British MasterChef judge James ""Jocky"" Petrie return as the red and blue sous chefs, respectively, alongside maitre'd Marino Monferrato. Season 18 features eight new contestants battling eight returning veterans. For the first time, the winner of Season 18 will receive a position as an executive chef at Gordon Ramsay Hell's Kitchen Restaurant at Caesars Palace in Las Vegas, Nevada.","Hell's Kitchen (U.S. season 18) Hell's Kitchen: Rookies vs Veterans is the eighteenth season of the American competitive reality television series Hell's Kitchen and premiered on September 28, 2018, on Fox. Gordon Ramsay returns as host and head chef, and Season 10 winner Christina Wilson and British MasterChef judge James ""Jocky"" Petrie return as the red and blue sous chefs, respectively, alongside maitre'd Marino Monferrato. Eight new contestants battle eight returning veterans. For the first time, the winner of Season 18, a position as an"
train_73518,where does a horse live on a farm,"Horse care Horses require both shelter from natural elements like wind and precipitation, as well as room to exercise. Worldwide, horses and other equids usually live outside with access to shelter for protection from the elements. In some cases, animals are kept in a barn or stable for ease of access by managers, or for protection from the weather for various reasons. For horse owners who do not own their own land, fields and barns can be rented from a private land owner or space for an individual horse may be rented from a boarding farm. Horses that are not on full-time turnout in a field or pasture normally require some form of regular exercise, whether it is being ridden, longed or turned out for free time. However, if a horse is ill or injured it may need to be confined to a stable, usually in a box stall.","Care for horses, they require, both shelter from natural elements like wind and precipitation, as well as room to exercise. Worldwide, horses and other equids usually live outside with access to shelter for protection from the elements. In some cases, animals are kept in a barn or stable for ease of access by managers, or for protection from the weather for various reasons. For horse owners who do not own their own land, fields and barns can be rented from a private land owner or space for an individual horse may be rented from a boarding farm. Horses that are not on full-time turnout in a field or pasture normally require some form"
train_77899,when was the early years foundation stage introduced,"Early Years Foundation Stage The legislation took effect from September 2008. The Welfare requirements apply to the whole of the UK, but the Learning and Development requirements apply only in England.","From September 2008, the legislation took effect. To the whole of the UK, the Welfare requirements apply, but in England, the Learning and Development requirements apply."
train_3253,when did the farm security administration hire a group of photographers,"Farm Security Administration The FSA is famous for its small but highly influential photography program, 1935â€“44, that portrayed the challenges of rural poverty.","Famous for its small but highly influential photography program, 1935–44, the FSA is. The challenges of rural poverty, portrayed it did."
train_36191,who invented and wore the first pair of pants,"Trousers There is some evidence, from figurative art, of trousers being worn in the Upper Paleolithic, as seen on the figurines found at the Siberian sites of Mal'ta and Buret'.[5] The oldest known trousers are found at the Yanghai cemetery, extracted from mummies in Turpan, Xinjiang, western China, belonging to the Eastern Iranian people of the Tarim Basin; dated to the period between the 13th and the 10th century BC and made of wool, the trousers had straight legs and wide crotches, and were likely made for horseback riding.[2][3]","Some evidence, from figurative art, of trousers being worn in the Upper Paleolithic, there is. In the Upper Paleolithic, as seen on the figurines found at the Siberian sites of Mal'ta and Buret', worn in the Upper Paleolithic, there is some evidence. The oldest known trousers, at the Yanghai cemetery found, extracted from mummies in Turpan, western China, the Tarim Basin of the Eastern Iranian people, to the period between the 13th and the 10th century BC, dated are. Made of wool, the trousers had, and likely for horse"
train_96890,when was the movie escape from new york made,"Escape from New York Carpenter and his crew persuaded the city to shut off the electricity to ten blocks at a time at night. The film was shot from August to November 1980. It was a tough and demanding shoot for the filmmaker as he recalls. ""We'd finish shooting at about 6 am and I'd just be going to sleep at 7 when the sun would be coming up. I'd wake up around 5 or 6 pm, depending on whether or not we had dailies, and by the time I got going, the sun would be setting. So for about two and a half months I never saw daylight, which was really strange.""[9] The gladiatorial fight to the death scene between Snake and Slag (played by professional wrestler Ox Baker) was filmed in the Grand Hall at St. Louis Union Station. Russell has stated, ""That day was a nightmare. All I did was swing a [spiked] bat at that guy and get swung at in return. He threw a trash can in my face about five times ... I could have wound up in pretty bad shape.""[14] In addition to shooting on location in St. Louis, Carpenter shot parts of the film in Los Angeles. Various interior scenes were shot on a sound stage; the final scenes were shot at the Sepulveda Dam, in Sherman Oaks. New York served as a location, as did Atlanta, to use their futuristic-looking rapid-transit system.[15] In New York City, Carpenter persuaded federal officials to grant access to Liberty Island. ""We were the first film company in history allowed to shoot on Liberty Island at the Statue of Liberty at night. They let us have the whole island to ourselves. We were lucky. It wasn't easy to get that initial permission. They'd had a bombing three months earlier and were worried about trouble"".[16]","Persuaded the city to shut off the electricity to ten blocks at a time at night, the film was. From August to November 1980, the film was shot. A tough and demanding shoot for the filmmaker, it was. The sun would be coming up, and he just be going to sleep at 7, he would. The sun would be setting, and by the time he got going, it was 5 or 6 pm, depending, he did. Two and a half months, he never saw daylight, which really strange, it was. A nightmare, the day was, for Russell. A [sp"
train_64914,whats the distance between the earth and sun,"Earth Earth orbits the Sun at an average distance of about 150 million km (93 million mi) every 365.2564 mean solar days, or one sidereal year. This gives an apparent movement of the Sun eastward with respect to the stars at a rate of about 1°/day, which is one apparent Sun or Moon diameter every 12 hours. Due to this motion, on average it takes 24 hours—a solar day—for Earth to complete a full rotation about its axis so that the Sun returns to the meridian. The orbital speed of Earth averages about 29.78 km/s (107,200 km/h; 66,600 mph), which is fast enough to travel a distance equal to Earth's diameter, about 12,742 km (7,918 mi), in seven minutes, and the distance to the Moon, 384,000 km (239,000 mi), in about 3.5 hours.[3]","Orbits the Sun at an average distance of about 150 million km (93 million mi), Earth does. Every 365.2564 mean solar days, or one sidereal year, this takes. A full rotation about its axis, to complete, it takes 24 hours, on average. Fast enough to travel a distance equal to Earth's diameter, about 12,742 km (7,918 mi), in seven minutes, Earth's orbital speed averages. The distance to the Moon, 384,000 km (239,000 mi), in about 3.5 hours, it takes. One apparent"
train_90522,what is the tallest mountain in the world from base to summit,"Mauna Kea Mauna Kea (/ˌmɔːnə ˈkeɪ.ə/ or /ˌmaʊnə ˈkeɪ.ə/, Hawaiian: [ˈmɐwnə ˈkɛjə]) is a dormant volcano on the island of Hawaii. Its peak is 4,207 m (13,802 ft) above sea level, making it the highest point in the state of Hawaii and the second-highest point above sea level of any island on Earth. Most of the mountain is under water; when measured from its oceanic base, Mauna Kea is over 10,000 m (33,000 ft) tall and is the tallest mountain on Earth. Mauna Kea is about a million years old, and has thus passed the most active shield stage of life hundreds of thousands of years ago. In its current post-shield state, its lava is more viscous, resulting in a steeper profile. Late volcanism has also given it a much rougher appearance than its neighboring volcanoes; contributing factors include the construction of cinder cones, the decentralization of its rift zones, the glaciation on its peak, and the weathering effects of the prevailing trade winds. Mauna Kea last erupted 6,000 to 4,000 years ago and is now considered dormant.","system Is a dormant volcano on the island of Hawaii, Mauna Kea is. Above sea level, 4,207 m (13,802 ft) high, it is. The highest point in the state of Hawaii, and the second-highest point above sea level of any island on Earth, it is. Most of the mountain under water, is. From its oceanic base, over 10,000 m (33,000 ft) tall, Mauna Kea is. A million years old, Mauna Kea is. The most active shield stage of life, hundreds of thousands of years ago,"
train_49218,who came in second on america's got talent 2016,"America's Got Talent (season 11) Grace VanderWaal was announced as the winner on September 14, 2016, making her the second female act and the second child act to win the show since season 1. Mentalist duo, The Clairvoyants, placed second, marking the first time that females placed in the top two positions. Magician Jon Dorenbos, the NFL Long Snapper for the Philadelphia Eagles, placed third.[6]","Announced as the winner on September 14, 2016, Grace VanderWaal was. The second female act and the second child act to win the show since season 1, she was. Mentalist duo, The Clairvoyants, second placed, marking the first time that females in the top two positions, they did. Magician Jon Dorenbos, the NFL Long Snapper for the Philadelphia Eagles, third placed, he did. The first time that females in the top two positions, they marked, they did."
train_89519,is there a country within the united states,"Republic of Molossia Molossia, also known as the Republic of Molossia, is a claimed micronation in the United States, founded by Kevin Baugh (b. July 30, 1962) and headquartered at his home near Dayton, Nevada. The Republic of Molossia has claimed itself a nation but it is not recognized as a country by the United Nations. On April 16, 2016, Baugh hosted a tour of Molossia, sponsored by the website Atlas Obscura.[3] Kevin Baugh continues to pay property taxes on the land to Storey County (the recognized local government), although he calls it ""foreign aid."" The land use of the property identified as being within the county is Manufactured Home Converted to Real Property.[4] Kevin Baugh has stated, ""We all want to think we have our own country, but you know the U.S. is a lot bigger"". [5]","Molossia, also known as the Republic of Molossia, a claimed micronation in the United States, is. Founded by Kevin Baugh (b. July 30, 1962), it is. Headquartered at his home near Dayton, Nevada, it is. A nation, the Republic of Molossia has claimed, but recognized as a country by the United Nations, it is not. On April 16, 2016, Baugh a tour of Molossia, hosted he did. Sponsored by the website Atlas Obscura, it was. To Storey County (the recognized local government),"
train_45803,what type of wave is the light mechanical or electromagnetic,"Mechanical wave To see an example, move an end of a Slinky (whose other end is fixed) to the left-and-right of the Slinky, as opposed to to-and-fro.[2] Light also has properties of a transverse wave, although it is an electromagnetic wave.[3]","To see an example, move an end of a Slinky (whose other end is fixed) to the left-and-right of the Slinky, as opposed to to-and-fro, you must. Light also has properties of a transverse wave, although an electromagnetic wave, it is."
